id,original_filename,duration_s,width,height,fps,frame_count,codec,has_audio,bytes,sha256
BH-01,BH-01.mp4,13.9,1280,720,30/1,417,hevc,False,2585432,669cbf0987a9bc0b7c5033bbfa695f855cc4d5c2892140e1678c0f6c30521064
BH-02,BH-02.mp4,27.066667,1280,720,30/1,812,hevc,False,4618410,c7cdc30fe230049bbdd406da4f1cd8fa2d2c8715ca8b179b11862cde480bd652
BH-03,BH-03.mp4,25.033333,1280,720,30/1,751,hevc,False,4604289,bbd945bbde84781861b6596424b165170a4df53ea158024b89b4c8642b3cf1e2
BH-04,BH-04.mp4,29.6,1280,720,30/1,888,hevc,False,4664747,ca9b8487f433d24d361695e1ef134d9928d588fd6bdb16efd0722a614ca09d22
BH-05,BH-05.mp4,54.066667,1280,720,24285/811,1619,hevc,False,8758475,167d06845f820760b4498f38ac06578dd75c872069ec6bf948f5925bb13f62ff
BH-06,BH-06.mp4,16.133333,1280,720,30/1,484,hevc,False,3347096,e3f86388e8bb10ba8b4e35466e30b2add509e6e227a7472b7f894bb83d32b36c
BH-07,BH-07.mp4,102.333333,1280,720,9207/307,3069,hevc,False,17118999,de77aec346ae70cf426a922f28c799ceee144e0b65bbc82bdc3dc1d69e99c762
BH-08,BH-08.mp4,27.066667,720,1280,30/1,812,hevc,False,4473085,6a37004921f37e6f60e27aa8eb6a04ddf23796224ad1ed605646a9681d295aed
BH-09,BH-09.mp4,144.7,960,544,43370/1447,4337,hevc,False,15091022,5ee702d883b935551787860c30a1b387d87d3ef0ef67c35907d1e5738bf77343
BH-10,BH-10.mp4,63.7,1280,720,19070/637,1907,hevc,False,12181608,97c8f347f7283d02fab5a94e10094c81d821ca834b97d9cad531bb51ed7d17fe
BH-11,BH-11.mp4,24.2,1280,720,30/1,726,hevc,False,4105986,ba8581fa667d4e17664ad437859ce87e5419a26e4f4eb8357f5601a361d79f9b
BH-12,BH-12.mp4,16.9,1280,720,30/1,507,hevc,False,2590598,0e1823abf0908f1eb9ff9033909333b4e955baa9f3a10cac1dd4beb678f7f49d
BH-13,BH-13.mp4,148.333333,544,960,13341/445,4447,hevc,False,18032023,4f125ad92f23abfcaa7e80c8ea184a6f9bc2a0941c57fd48e558785be5a51e7e
BH-14,BH-14.mp4,20.133333,720,1280,9045/302,603,hevc,False,3125358,34d3e2a64b29675425bbe4ac115e2bab9814fb9fcc08d68301c6cac96bc87c1d
BH-15,BH-15.mp4,22.333333,720,1280,30/1,670,hevc,False,3620557,93463dd6a5270dc319b07362db268a054207bc956247d1a60d4671bde6a09496
BH-16,BH-16.mp4,20.333333,720,1280,30/1,610,hevc,False,3620657,0a6100cb5f9bb8a709524b2eca065a88baf03683e2172ae0919347a8fc5ac4de
BH-17,BH-17.mp4,28.7,720,1280,30/1,861,hevc,False,4231348,77721086bca5f838bd7b6d1c07ac7dd1062e216a340bb49149f7980b9da886cc
BH-18,BH-18.mp4,21.5,720,1280,30/1,645,hevc,False,2641064,3e27108bfad80d2b564fe4c2c6d95860ec7c253c149b12b624c775fce833a324
BH-19,BH-19.mp4,20.233333,720,1280,30/1,607,hevc,False,2810608,be2dfb446ba58462a6fc19cd6119409a6dc15863b95c19c12a1c4be4734bb6c2
BH-20,BH-20.mp4,28.366667,720,1280,30/1,851,hevc,False,3253231,940c12217930f39fcab1d5ca87fa6d7e4d52dba5e4e336016ddef146bb3e135c
BH-21,BH-21.mp4,26.433333,720,1280,30/1,793,hevc,False,4923272,22e8efcad3a614d7d2477608d7a19cfe3c2528e92b8012fef58e4f79d7eea8a1
BH-22,BH-22.mp4,64.933333,720,1280,29175/974,1945,hevc,False,10007064,a50a85e2bea81ec6c53f9a2e4773f9c8ac5b32d82b6d6e20af40c7b23332d55d
BH-23,BH-23.mp4,69.2,720,1280,10365/346,2073,hevc,False,9025908,9597be565b7c6137fdc06455fac1e32284171297a7e3b7405df360f8e0cc7722
BH-24,BH-24.mp4,60.766667,720,1280,54630/1823,1821,hevc,False,8376459,d133efee6189177a2962bc06801bf1b1da6d673e7e4bb1bae916c862b8290ff8
BH-25,BH-25.mp4,61.000023,720,1280,1826/61,1826,hevc,False,8044433,5bbed63332c2003bd4910760ef17326c10ae16b1b328bee37c442eccc433bab6
BH-26,BH-26.mp4,52.733333,720,1280,23685/791,1579,hevc,False,6751850,1f43748808dd04715be99a77c0c79ce8e52c646e508326c16fc22a9e4ad818a9
BH-27,BH-27.mp4,32.033333,720,1280,28800/961,960,hevc,False,4743417,e73d01e62248a7f5994e336d804dbc87fab9dbc78bddd8340506632ddb671890
BH-28,BH-28.mp4,69.733333,720,1280,31305/1046,2087,hevc,False,10578445,d61fec70db0a4bb439ae47b4551fe1487ed553c58bc696db90e1f49df6259a3b
BH-29,BH-29.mp4,38.0,720,1280,568/19,1136,hevc,False,6341143,0f76f2bca9cc13e786fa2254326c5e4ff6e0d30554f0a8bbf6a555d2dbe5a02c
BH-30,BH-30.mp4,19.833333,720,1280,30/1,595,hevc,False,2828706,119248eb5dc70105c793296d51a8ad910913e8e60220b4b5c8e0319f2c70c539
BH-31,BH-31.mp4,41.266667,1280,720,18555/619,1237,hevc,False,6432312,1be635ddb0355117fd6c02a84e095f4d70307985023258452c84273dc5cffc60
BH-32,BH-32.mp4,53.033333,720,1280,47670/1591,1589,hevc,False,7295531,e68551ab3aa1e03fe49b76e014b4834bd2ce38833c7c95ac496fee0a1be0a971
BH-33,BH-33.mp4,16.066667,720,1280,30/1,482,hevc,False,2627395,0058da55b547eccda86d37445cbed35b99cff3fd2ee5b3384069e5c25402c693
